word,count
繁(1059),74/90711
繃(1060),3/90714
繄(1061),9/90723
繆(1062),28/90751
繇(1063),178/90929
繎(1064),1/90930
繒(1065),4/90934
織(1066),19/90953
繕(1067),8/90961
繘(1068),1/90962
繚(1069),17/90979
繞(1070),42/91021
繡(1071),32/91053
繢(1072),3/91056
繣(1073),1/91057
繤(1074),1/91058
繦(1075),1/91059
繩(1076),60/91119
繪(1077),19/91138
繫(1078),133/91271
繭(1079),21/91292
繮(1080),4/91296
繳(1081),7/91303
繹(1082),36/91339
繼(1083),147/91486
繽(1084),15/91501
繾(1085),10/91511
纁(1086),2/91513
纂(1087),57/91570
纊(1088),5/91575
續(1089),95/91670
纍(1090),180/91850
纏(1091),28/91878
纑(1092),1/91879
纓(1093),57/91936
纔(1094),61/91997
纕(1095),18/92015
纖(1096),29/92044
纘(1097),9/92053
纚(1098),4/92057
纛(1099),2/92059
纜(1100),2/92061
纠(1101),29/92090
纡(1102),114/92204
红(1103),54/92258
纣(1104),5/92263
纤(1105),29/92292
纥(1106),42/92334
约(1107),130/92464
级(1108),40/92504
纨(1109),26/92530
纩(1110),5/92535
纪(1111),161/92696
纫(1112),13/92709
纬(1113),78/92787
纭(1114),9/92796
纮(1115),5/92801
纯(1116),67/92868
纱(1117),12/92880
纲(1118),111/92991
纳(1119),145/93136
纴(1120),2/93138
纵(1121),129/93267
纶(1122),54/93321
纷(1123),95/93416
纸(1124),178/93594
纹(1125),9/93603
纺(1126),26/93629
纻(1127),9/93638
纽(1128),16/93654
线(1129),16/93670
绀(1130),4/93674
绁(1131),6/93680
绂(1132),13/93693
练(1133),54/93747
组(1134),46/93793
绅(1135),49/93842
细(1136),96/93938
织(1137),19/93957
终(1138),409/94366
绊(1139),6/94372
绋(1140),1/94373
绌(1141),3/94376
绍(1142),156/94532
绎(1143),36/94568
经(1144),998/95566
绐(1145),2/95568
绑(1146),2/95570
绒(1147),4/95574
结(1148),193/95767
绔(1149),1/95768
绕(1150),42/95810
绘(1151),19/95829
给(1152),151/95980
绚(1153),11/95991
绛(1154),317/96308
络(1155),16/96324
绝(1156),473/96797
绞(1157),6/96803
统(1158),84/96887
绠(1159),6/96893
绡(1160),4/96897
绢(1161),50/96947
绣(1162),32/96979
绥(1163),36/97015
绦(1164),1/97016
继(1165),147/97163
绩(1166),86/97249
绪(1167),83/97332
绫(1168),53/97385
续(1169),95/97480
绮(1170),180/97660
绯(1171),14/97674
绰(1172),19/97693
绳(1173),60/97753
维(1174),194/97947
绵(1175),70/98017
绶(1176),24/98041
绷(1177),3/98044
绸(1178),25/98069
绺(1179),1/98070
绻(1180),9/98079
综(1181),38/98117
绽(1182),3/98120
绾(1183),13/98133
绿(1184),64/98197
缀(1185),30/98227
缁(1186),19/98246
缃(1187),7/98253
缄(1188),12/98265
缅(1189),27/98292
缆(1190),2/98294
缇(1191),3/98297
缈(1192),53/98350
缉(1193),39/98389
缊(1194),5/98394
缋(1195),3/98397
缎(1196),3/98400
缑(1197),2/98402
缓(1198),25/98427
缔(1199),21/98448
缕(1200),14/98462
编(1201),94/98556
缗(1202),6/98562
缘(1203),166/98728
缙(1204),19/98747
缚(1205),27/98774
缛(1206),3/98777
缜(1207),1/98778
缝(1208),17/98795
缟(1209),65/98860
缠(1210),28/98888
缢(1211),6/98894
缣(1212),9/98903
缤(1213),15/98918
缥(1214),60/98978
缦(1215),3/98981
缧(1216),2/98983
缨(1217),57/99040
缩(1218),14/99054
缪(1219),28/99082
缭(1220),17/99099
缮(1221),8/99107
缯(1222),4/99111
缰(1223),4/99115
缱(1224),10/99125
缴(1225),7/99132
缵(1226),9/99141
缸(1227),2/99143
缺(1228),72/99215
缻(1229),1/99216
缽(1230),33/99249
罂(1231),5/99254
罄(1232),21/99275
罅(1233),2/99277
罈(1234),91/99368
罌(1235),5/99373
罍(1236),1/99374
罐(1237),1/99375
网(1238),31/99406
罔(1239),73/99479
罕(1240),41/99520
罗(1241),535/100055
罚(1242),30/100085
罟(1243),1/100086
罡(1244),1/100087
罢(1245),57/100144
罩(1246),6/100150
罪(1247),199/100349
罫(1248),1/100350
置(1249),142/100492
罰(1250),30/100522
署(1251),61/100583
罳(1252),1/100584
罴(1253),11/100595
罵(1254),11/100606
罷(1255),57/100663
罹(1256),14/100677
罾(1257),5/100682
羁(1258),32/100714
羅(1259),535/101249
羆(1260),11/101260
羇(1261),2/101262
羈(1262),32/101294
羊(1263),83/101377
羋(1264),5/101382
羌(1265),255/101637
美(1266),373/102010
羓(1267),1/102011
羔(1268),37/102048
羖(1269),25/102073
羜(1270),2/102075
羞(1271),29/102104
羠(1272),1/102105
羡(1273),33/102138
群(1274),334/102472
羨(1275),33/102505
義(1276),659/103164
羭(1277),2/103166
羯(1278),8/103174
羲(1279),162/103336
羳(1280),1/103337
羸(1281),19/103356
羹(1282),15/103371
羽(1283),259/103630
羿(1284),2/103632
翁(1285),144/103776
翅(1286),17/103793
翊(1287),24/103817
翌(1288),3/103820
翎(1289),5/103825
習(1290),180/104005
翔(1291),163/104168
翕(1292),9/104177
翘(1293),40/104217
翙(1294),3/104220
翚(1295),28/104248
翛(1296),8/104256
翟(1297),18/104274
翠(1298),142/104416
翥(1299),11/104427
翦(1300),52/104479
翩(1301),51/104530
翬(1302),1/104531
翮(1303),97/104628
翰(1304),209/104837
翱(1305),11/104848
翳(1306),79/104927
翶(1307),1/104928
翹(1308),40/104968
翺(1309),11/104979
翻(1310),91/105070
翼(1311),180/105250
翽(1312),1/105251
翾(1313),1/105252
翿(1314),2/105254
耀(1315),72/105326
老(1316),439/105765
考(1317),166/105931
耄(1318),11/105942
者(1319),3007/108949
耆(1320),18/108967
耇(1321),2/108969
耋(1322),1/108970
耍(1323),1/108971
耏(1324),3/108974
耐(1325),14/108988
耑(1326),1/108989
耒(1327),9/108998
耔(1328),2/109000
耕(1329),49/109049
耗(1330),2/109051
耘(1331),6/109057
耙(1332),1/109058
耜(1333),1/109059
耠(1334),1/109060
耦(1335),1/109061
耧(1336),1/109062
耨(1337),103/109165
耪(1338),1/109166
耬(1339),1/109167
耰(1340),1/109168
耳(1341),319/109487
耶(1342),282/109769
耸(1343),46/109815
耻(1344),76/109891
耽(1345),45/109936
耾(1346),7/109943
耿(1347),28/109971
聂(1348),9/109980
聃(1349),3/109983
聆(1350),27/110010
聊(1351),70/110080
聋(1352),9/110089
职(1353),171/110260
联(1354),61/110321
聖(1355),753/111074
聘(1356),16/111090
聚(1357),103/111193
聞(1358),676/111869
聩(1359),1/111870
聪(1360),62/111932
聯(1361),61/111993
聰(1362),62/112055
聱(1363),4/112059
聲(1364),467/112526
聳(1365),46/112572
聵(1366),1/112573
聶(1367),9/112582
職(1368),171/112753
聽(1369),213/112966
聾(1370),9/112975
聿(1371),33/113008
肁(1372),1/113009
肃(1373),186/113195
肄(1374),3/113198
肅(1375),186/113384
肆(1376),80/113464
肇(1377),61/113525
肉(1378),46/113571
