word,count
肋(1379),4/113575
肌(1380),18/113593
肓(1381),1/113594
肖(1382),35/113629
肘(1383),12/113641
肚(1384),5/113646
肛(1385),1/113647
肜(1386),1/113648
肝(1387),47/113695
肠(1388),47/113742
股(1389),13/113755
肢(1390),3/113758
肤(1391),24/113782
肥(1392),112/113894
肩(1393),50/113944
肪(1394),1/113945
肫(1395),1/113946
肮(1396),2/113948
肯(1397),36/113984
肰(1398),3/113987
肱(1399),9/113996
育(1400),103/114099
肴(1401),18/114117
肸(1402),3/114120
肺(1403),37/114157
肾(1404),32/114189
肿(1405),14/114203
胀(1406),6/114209
胁(1407),15/114224
胂(1408),2/114226
胃(1409),38/114264
胄(1410),66/114330
胆(1411),20/114350
背(1412),115/114465
胎(1413),42/114507
胖(1414),3/114510
胙(1415),12/114522
胚(1416),3/114525
胜(1417),298/114823
胝(1418),17/114840
胞(1419),15/114855
胡(1420),110/114965
胤(1421),50/115015
胥(1422),30/115045
胪(1423),9/115054
胫(1424),3/115057
胯(1425),1/115058
胳(1426),2/115060
胶(1427),22/115082
胸(1428),22/115104
胹(1429),1/115105
胼(1430),9/115114
能(1431),1146/116260
胾(1432),1/116261
脁(1433),3/116264
脂(1434),11/116275
脃(1435),1/116276
脅(1436),15/116291
脆(1437),6/116297
脈(1438),53/116350
脉(1439),53/116403
脊(1440),6/116409
脍(1441),15/116424
脏(1442),3/116427
脐(1443),4/116431
脑(1444),6/116437
脓(1445),2/116439
脔(1446),2/116441
脖(1447),1/116442
脚(1448),16/116458
脛(1449),3/116461
脣(1450),1/116462
脩(1451),150/116612
脫(1452),93/116705
脯(1453),17/116722
脱(1454),93/116815
脸(1455),2/116817
脹(1456),6/116823
脾(1457),34/116857
腆(1458),1/116858
腊(1459),34/116892
腋(1460),2/116894
腌(1461),2/116896
腎(1462),32/116928
腐(1463),10/116938
腑(1464),2/116940
腔(1465),3/116943
腕(1466),26/116969
腠(1467),10/116979
腥(1468),6/116985
腦(1469),6/116991
腨(1470),1/116992
腫(1471),14/117006
腮(1472),1/117007
腯(1473),1/117008
腰(1474),46/117054
腳(1475),16/117070
腴(1476),26/117096
腸(1477),47/117143
腹(1478),41/117184
腺(1479),1/117185
腻(1480),3/117188
腼(1481),2/117190
腾(1482),125/117315
腿(1483),1/117316
膀(1484),1/117317
膂(1485),10/117327
膊(1486),1/117328
膍(1487),1/117329
膏(1488),33/117362
膑(1489),1/117363
膘(1490),1/117364
膚(1491),24/117388
膛(1492),1/117389
膜(1493),3/117392
膝(1494),25/117417
膠(1495),22/117439
膨(1496),1/117440
膩(1497),3/117443
膳(1498),63/117506
膴(1499),7/117513
膹(1500),1/117514
膺(1501),342/117856
膻(1502),3/117859
膽(1503),20/117879
膾(1504),15/117894
膿(1505),2/117896
臀(1506),2/117898
臂(1507),16/117914
臆(1508),6/117920
臈(1509),1/117921
臉(1510),2/117923
臊(1511),3/117926
臍(1512),4/117930
臏(1513),1/117931
臑(1514),3/117934
臘(1515),34/117968
臚(1516),9/117977
臝(1517),1/117978
臟(1518),3/117981
臠(1519),2/117983
臣(1520),1042/119025
臥(1521),48/119073
臧(1522),45/119118
臨(1523),512/119630
自(1524),1926/121556
臬(1525),6/121562
臭(1526),24/121586
臮(1527),11/121597
臯(1528),61/121658
臰(1529),1/121659
至(1530),1287/122946
致(1531),379/123325
臶(1532),1/123326
臸(1533),1/123327
臺(1534),801/124128
臻(1535),54/124182
臼(1536),18/124200
臾(1537),22/124222
臿(1538),1/124223
舀(1539),1/124224
舁(1540),2/124226
舃(1541),1/124227
舄(1542),18/124245
舅(1543),60/124305
舆(1544),178/124483
與(1545),1294/125777
興(1546),495/126272
舉(1547),318/126590
舊(1548),294/126884
舋(1549),1/126885
舌(1550),43/126928
舍(1551),482/127410
舎(1552),1/127411
舒(1553),62/127473
舘(1554),24/127497
舛(1555),11/127508
舜(1556),68/127576
舞(1557),76/127652
舟(1558),171/127823
舣(1559),3/127826
舩(1560),2/127828
航(1561),15/127843
舫(1562),6/127849
般(1563),85/127934
舰(1564),8/127942
舱(1565),2/127944
舲(1566),2/127946
舳(1567),4/127950
舵(1568),1/127951
舶(1569),2/127953
舷(1570),3/127956
舸(1571),5/127961
船(1572),34/127995
舻(1573),8/128003
艇(1574),2/128005
艎(1575),8/128013
艘(1576),2/128015
艙(1577),2/128017
艤(1578),3/128020
艦(1579),8/128028
艫(1580),8/128036
艮(1581),3/128039
良(1582),367/128406
艰(1583),57/128463
艱(1584),57/128520
色(1585),410/128930
艳(1586),48/128978
艶(1587),1/128979
艷(1588),141/129120
艺(1589),131/129251
艾(1590),28/129279
节(1591),587/129866
芄(1592),1/129867
芈(1593),5/129872
芊(1594),68/129940
芋(1595),2/129942
芍(1596),1/129943
芎(1597),1/129944
芒(1598),44/129988
芕(1599),2/129990
芗(1600),3/129993
芙(1601),13/130006
芜(1602),49/130055
芝(1603),103/130158
芟(1604),8/130166
芥(1605),51/130217
芦(1606),10/130227
芩(1607),2/130229
芬(1608),21/130250
芭(1609),6/130256
芯(1610),1/130257
芰(1611),8/130265
花(1612),199/130464
芳(1613),280/130744
芷(1614),40/130784
芸(1615),10/130794
芹(1616),1/130795
芻(1617),29/130824
芽(1618),6/130830
芾(1619),119/130949
苇(1620),9/130958
苌(1621),9/130967
苍(1622),99/131066
苏(1623),149/131215
苑(1624),146/131361
苒(1625),2/131363
苓(1626),9/131372
苔(1627),22/131394
苕(1628),5/131399
苗(1629),29/131428
苛(1630),9/131437
苞(1631),45/131482
苟(1632),124/131606
若(1633),1363/132969
苦(1634),207/133176
苫(1635),1/133177
英(1636),247/133424
苴(1637),7/133431
苹(1638),31/133462
苻(1639),20/133482
苽(1640),1/133483
苾(1641),7/133490
茀(1642),1/133491
茁(1643),1/133492
茂(1644),177/133669
范(1645),196/133865
茄(1646),3/133868
茅(1647),73/133941
茆(1648),1/133942
茈(1649),1/133943
茉(1650),2/133945
茍(1651),5/133950
茎(1652),13/133963
茏(1653),3/133966
茑(1654),5/133971
茔(1655),20/133991
茕(1656),5/133996
茗(1657),8/134004
茜(1658),2/134006
茝(1659),39/134045
茞(1660),2/134047
茟(1661),1/134048
茤(1662),3/134051
茧(1663),21/134072
茨(1664),20/134092
茫(1665),41/134133
茬(1666),1/134134
茯(1667),1/134135
茱(1668),1/134136
茲(1669),342/134478
茴(1670),1/134479
茵(1671),4/134483
茶(1672),26/134509
茸(1673),8/134517
茹(1674),19/134536
荀(1675),16/134552
荃(1676),10/134562
荆(1677),108/134670
荇(1678),50/134720
50(1679),393/135113
荊(1680),108/135221
荍(1681),2/135223
荏(1682),1/135224
荐(1683),61/135285
荑(1684),4/135289
荒(1685),116/135405
荔(1686),29/135434
荚(1687),3/135437
荛(1688),17/135454
荞(1689),3/135457
荟(1690),11/135468
荠(1691),5/135473
荡(1692),111/135584
荣(1693),291/135875
荤(1694),12/135887
荥(1695),5/135892
荦(1696),7/135899
荧(1697),15/135914
荩(1698),7/135921
荪(1699),15/135936
荫(1700),60/135996
药(1701),117/136113
荷(1702),104/136217
荸(1703),1/136218
荻(1704),1/136219
荼(1705),10/136229
莁(1706),2/136231
莂(1707),2/136233
莅(1708),20/136253
莆(1709),7/136260
莉(1710),1/136261
莊(1711),174/136435
莎(1712),3/136438
莒(1713),34/136472
莓(1714),1/136473
莖(1715),13/136486
莘(1716),3/136489
莚(1717),2/136491
莝(1718),2/136493
莞(1719),8/136501
莠(1720),1/136502
莢(1721),3/136505
莪(1722),2/136507
莫(1723),449/136956
莬(1724),1/136957
莱(1725),42/136999
莲(1726),111/137110
莳(1727),42/137152
莴(1728),3/137155
获(1729),202/137357
莸(1730),1/137358
莹(1731),35/137393
莺(1732),12/137405
莼(1733),3/137408
莽(1734),35/137443
菀(1735),26/137469
菁(1736),9/137478
菃(1737),1/137479
菅(1738),6/137485
菇(1739),2/137487
菉(1740),14/137501
菊(1741),28/137529
菌(1742),17/137546
菏(1743),3/137549
菑(1744),40/137589
菓(1745),1/137590
菕(1746),1/137591
菜(1747),33/137624
菟(1748),2/137626
菠(1749),1/137627
菡(1750),1/137628
菩(1751),674/138302
華(1752),871/139173
菰(1753),4/139177
菱(1754),2/139179
菲(1755),34/139213
菴(1756),9/139222
菹(1757),8/139230
菽(1758),1/139231
萁(1759),65/139296
萃(1760),42/139338
萄(1761),2/139340
萇(1762),9/139349
萊(1763),42/139391
萋(1764),3/139394
萌(1765),12/139406
萍(1766),18/139424
萎(1767),8/139432
萏(1768),4/139436
萚(1769),3/139439
萝(1770),28/139467
萤(1771),15/139482
营(1772),144/139626
萦(1773),41/139667
萧(1774),145/139812
萨(1775),230/140042
萩(1776),1/140043
萬(1777),869/140912
萭(1778),4/140916
萱(1779),4/140920
萵(1780),3/140923
萼(1781),23/140946
落(1782),247/141193
葆(1783),9/141202
葉(1784),322/141524
葐(1785),2/141526
葑(1786),66/141592
著(1787),315/141907
葛(1788),72/141979
葡(1789),1/141980
董(1790),119/142099
葦(1791),9/142108
葩(1792),28/142136
葪(1793),1/142137
葫(1794),3/142140
葬(1795),105/142245
葭(1796),1/142246
葯(1797),295/142541
葱(1798),18/142559
葳(1799),16/142575
葴(1800),1/142576
葵(1801),12/142588
葷(1802),12/142600
葸(1803),1/142601
葹(1804),2/142603
葺(1805),34/142637
蒀(1806),2/142639
蒂(1807),21/142660
蒋(1808),30/142690
蒐(1809),2/142692
蒓(1810),3/142695
蒔(1811),2/142697
蒙(1812),185/142882
蒜(1813),6/142888
蒞(1814),20/142908
蒟(1815),1/142909
蒦(1816),1/142910
蒲(1817),48/142958
蒸(1818),48/143006
蒹(1819),1/143007
蒻(1820),45/143052
蒼(1821),99/143151
蒿(1822),4/143155
蓀(1823),15/143170
蓁(1824),6/143176
蓂(1825),25/143201
蓄(1826),36/143237
蓉(1827),12/143249
蓊(1828),1/143250
蓋(1829),537/143787
蓍(1830),8/143795
蓏(1831),1/143796
蓐(1832),2/143798
蓑(1833),65/143863
蓖(1834),1/143864
蓝(1835),37/143901
蓟(1836),7/143908
蓠(1837),1/143909
蓬(1838),37/143946
蓮(1839),111/144057
蓱(1840),1/144058
蓴(1841),3/144061
蔇(1842),1/144062
蔑(1843),7/144069
蔓(1844),25/144094
蔔(1845),70/144164
蔗(1846),7/144171
蔚(1847),19/144190
蔡(1848),139/144329
蔣(1849),30/144359
蔥(1850),18/144377
蔦(1851),5/144382
蔫(1852),2/144384
蔬(1853),14/144398
蔭(1854),60/144458
蔵(1855),60/144518
蔹(1856),5/144523
蔺(1857),2/144525
蔼(1858),38/144563
蔽(1859),57/144620
蕀(1860),4/144624
蕁(1861),2/144626
蕃(1862),228/144854
蕉(1863),10/144864
蕊(1864),9/144873
蕎(1865),3/144876
蕓(1866),5/144881
蕕(1867),1/144882
蕖(1868),5/144887
蕘(1869),17/144904
蕙(1870),48/144952
蕞(1871),1/144953
蕢(1872),1/144954
蕤(1873),25/144979
蕨(1874),1/144980
蕩(1875),111/145091
蕪(1876),49/145140
蕭(1877),145/145285
蕰(1878),1/145286
蕲(1879),1/145287
蕴(1880),33/145320
蕺(1881),2/145322
蕾(1882),1/145323
薄(1883),162/145485
薆(1884),1/145486
薇(1885),4/145490
薈(1886),11/145501
薉(1887),1/145502
薊(1888),7/145509
薋(1889),2/145511
薌(1890),3/145514
薑(1891),66/145580
薛(1892),72/145652
薜(1893),27/145679
薝(1894),5/145684
薠(1895),2/145686
薤(1896),5/145691
薦(1897),61/145752
薨(1898),42/145794
薩(1899),230/146024
薪(1900),34/146058
薮(1901),6/146064
薯(1902),1/146065
薰(1903),107/146172
薳(1904),1/146173
薶(1905),1/146174
薺(1906),5/146179
薾(1907),1/146180
藁(1908),7/146187
藂(1909),3/146190
藉(1910),67/146257
藍(1911),37/146294
藎(1912),7/146301
藏(1913),772/147073
藐(1914),100/147173
藓(1915),2/147175
藕(1916),1/147176
藘(1917),1/147177
藜(1918),77/147254
藝(1919),131/147385
藤(1920),17/147402
藥(1921),117/147519
藩(1922),38/147557
藪(1923),6/147563
藴(1924),33/147596
藹(1925),38/147634
藺(1926),2/147636
藻(1927),37/147673
藿(1928),2/147675
蘄(1929),1/147676
蘅(1930),18/147694
蘆(1931),10/147704
蘇(1932),149/147853
蘊(1933),33/147886
蘋(1934),108/147994
蘑(1935),1/147995
蘘(1936),1/147996
蘚(1937),2/147998
蘞(1938),5/148003
蘢(1939),3/148006
蘥(1940),35/148041
蘩(1941),8/148049
蘭(1942),337/148386
蘸(1943),2/148388
蘺(1944),1/148389
蘼(1945),5/148394
蘿(1946),28/148422
虎(1947),162/148584
虏(1948),34/148618
虐(1949),15/148633
虑(1950),187/148820
虓(1951),7/148827
虔(1952),71/148898
處(1953),483/149381
虖(1954),1/149382
虙(1955),1/149383
虚(1956),427/149810
虜(1957),34/149844
虞(1958),212/150056
號(1959),214/150270
虡(1960),4/150274
虢(1961),46/150320
虧(1962),60/150380
虫(1963),32/150412
虬(1964),21/150433
虯(1965),21/150454
虱(1966),4/150458
虹(1967),17/150475
虺(1968),2/150477
虻(1969),1/150478
虽(1970),481/150959
虾(1971),8/150967
虿(1972),2/150969
蚀(1973),15/150984
蚁(1974),22/151006
蚂(1975),2/151008
蚊(1976),3/151011
蚋(1977),1/151012
蚌(1978),12/151024
蚓(1979),2/151026
蚕(1980),13/151039
